study,domain,sub_domain,source,table_name,variable,label,has_skip_logic,sensitivity,plab_facet,plab_subfacet,alexsa_facet,nobs_00mo,nobs_12mo,nobs_24mo,nobs_36mo,nobs_48mo,nobs_60mo,nobs_72mo
Core,ABCD (General),Standard Variables,General,ab_g_dyn,ab_g_dyn__visit_age,Visit information: Youth's age at the start of the event,no,not sensitive,NA,NA,NA,11868,11219,10973,10450,9739,8885,5056
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__age__slf_001,How old are you? [Cross-listed: mh_p_asr__slf__age_001],yes,not sensitive,demographics,age,_none_,11777,11173,10863,10168,9481,8629,4960
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__child__time_001,Is there another household in which the child spends a significant amount of time?,no,not sensitive,demographics,household structure,_none_,11784,11144,10847,10143,9461,8638,4959
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__country_002,How many years has the child lived in the United States?,yes,not sensitive,identities,country,_none_,0,0,0,0,0,0,0
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__country__fam_001,"Was anyone in your child's family born outside of the United States? By your child's family, I mean you, your child's other parent, or your child's maternal or paternal grandparents.",no,not sensitive,demographics,relatives,_none_,11866,0,0,0,0,0,0
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__edu__slf_001,What is the highest grade or level of school you have completed or the highest degree you have received?,no,not sensitive,demographics,education attained,_none_,11851,11180,10888,10182,9498,8661,4973
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__country__slf_002,How many years have you lived in the United States?,yes,not sensitive,identities,country,_none_,9919,0,0,0,0,0,0
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__income__hhold_001,"What is your total combined family income for the past 12 months? This should include income (before taxes and deductions) from all sources, wages, rent from properties, social security, disability and/or veteran's benefits, unemployment benefits, workman's compensation, help from relative (include child payments and alimony), and so on.",no,not sensitive,demographics,income,last year stressors,10851,10372,10009,9360,8680,7987,4657
Core,"Friends, Family, & Community",Work & School,Parent,fc_p_sag,fc_p_sag_006a__02___1,"Under which category is your child eligible for their IEP, for primary and secondary designations? [Multi-select]: Specific learning disability (such as dyslexia)",yes,not sensitive,school,not applicable,academic competency,0,0,8410,8017,7981,8313,4808
Core,"Friends, Family, & Community",Work & School,Parent,fc_p_sag,fc_p_sag_006a__02___2,"Under which category is your child eligible for their IEP, for primary and secondary designations? [Multi-select]: Other health impairment (including ADHD and other conditions that limit a child's strength, energy, or alertness)",yes,not sensitive,school,not applicable,academic competency,0,0,8410,8017,7981,8313,4808
Core,"Friends, Family, & Community",Work & School,Parent,fc_p_sag,fc_p_sag_006a__02___3,"Under which category is your child eligible for their IEP, for primary and secondary designations? [Multi-select]: Autism spectrum disorder",yes,not sensitive,school,not applicable,academic competency,0,0,8410,8017,7981,8313,4808
Core,"Friends, Family, & Community",Work & School,Parent,fc_p_sag,fc_p_sag_006a__02___4,"Under which category is your child eligible for their IEP, for primary and secondary designations? [Multi-select]: Emotional disturbance",yes,not sensitive,school,not applicable,academic competency,0,0,8410,8017,7981,8313,4808
Core,"Friends, Family, & Community",Work & School,Parent,fc_p_sag,fc_p_sag_006a__02___5,"Under which category is your child eligible for their IEP, for primary and secondary designations? [Multi-select]: Speech or language impairment",yes,not sensitive,school,not applicable,academic competency,0,0,8410,8017,7981,8313,4808
Core,"Friends, Family, & Community",Work & School,Parent,fc_p_sag,fc_p_sag_006a__02___6,"Under which category is your child eligible for their IEP, for primary and secondary designations? [Multi-select]: Visual impairment (including partial sight and blindness)",yes,not sensitive,school,not applicable,academic competency,0,0,8410,8017,7981,8313,4808
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__ntvlang_004,Does your child attend a dual-language or language immersion program at their school?,yes,not sensitive,school,not applicable,_none_,0,11077,10798,10106,9431,0,0
Core,Mental Health,Psychosocial,Parent,mh_p_kbi,mh_p_kbi_001,Does your child live with you full time?,no,not sensitive,demographics,household structure,_none_,11856,11186,10878,10190,9494,8669,4977
Core,Mental Health,Psychosocial,Parent,mh_p_kbi,mh_p_kbi__mh_001__03,How many times has your child been in the hospital for mental health problems?,yes,maybe sensitive,service utilization,not applicable,_none_,11860,11204,10899,10160,9429,8610,4950
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__edu__yth_001,"What grade is the child in? If it is summer, indicate grade starting in the fall.",yes,not sensitive,demographics,education attained,_none_,10259,11195,10886,10200,9495,8666,4981
Core,"Friends, Family, & Community",Work & School,Parent,fc_p_sag,fc_p_sag_006a__02___7,"Under which category is your child eligible for their IEP, for primary and secondary designations? [Multi-select]: Deafness (can't hear most of all sounds, even with a hearing aid)",yes,not sensitive,school,not applicable,academic competency,0,0,8410,8017,7981,8313,4808
Core,Mental Health,Psychosocial,Parent,mh_p_kbi,mh_p_kbi__school_003__01___2,Detentions or suspensions for what? [Multi-select]: Talking Back to a Teacher,yes,not sensitive,school,not applicable,conduct disorder criteria,11805,10900,10424,9597,8957,8448,4833
Core,Mental Health,Psychosocial,Parent,mh_p_kbi,mh_p_kbi__school_003__01___3,Detentions or suspensions for what? [Multi-select]: Threatening a Teacher,yes,not sensitive,school,not applicable,conduct disorder criteria,11805,10900,10424,9597,8957,8448,4833
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__ethn_001,Do you consider the child Hispanic/Latino/Latina?,yes,not sensitive,identities,race and ethnicity,_none_,11715,16,22,22,1823,1060,152
Core,"Friends, Family, & Community",Work & School,Parent,fc_p_sag,fc_p_sag_006a__02___8,"Under which category is your child eligible for their IEP, for primary and secondary designations? [Multi-select]: Hearing impairment",yes,not sensitive,school,not applicable,academic competency,0,0,8410,8017,7981,8313,4808
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__ethn__slf_001,Do you consider yourself Hispanic/Latino/Latina?,no,not sensitive,identities,race and ethnicity,_none_,11796,11153,10692,9238,5329,3652,2051
Core,Mental Health,Psychosocial,Parent,mh_p_kbi,mh_p_kbi__school_003__01___4,Detentions or suspensions for what? [Multi-select]: Cutting Classes,yes,not sensitive,school,not applicable,conduct disorder criteria,11805,10900,10424,9597,8957,8448,4833
Core,Mental Health,Psychosocial,Parent,mh_p_kbi,mh_p_kbi__school_003__01___7,Detentions or suspensions for what? [Multi-select]: Bringing a Weapon to School,yes,not sensitive,school,not applicable,conduct disorder criteria,11805,10900,10424,9597,8957,8448,4833
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__exp__fam_001,"In the past 12 months, has there been a time when you and your immediate family experienced any of the following: Needed food but couldn't afford to buy it or couldn't afford to go out to get it?",no,not sensitive,life events,not applicable,last year stressors,11792,11169,10857,10165,9473,8623,4959
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__exp__fam_002,"In the past 12 months, has there been a time when you and your immediate family experienced any of the following: Were without telephone service because you could not afford it?",no,not sensitive,life events,not applicable,last year stressors,11822,11185,10879,10186,9500,8665,4970
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__exp__fam_003,"In the past 12 months, has there been a time when you and your immediate family experienced any of the following: Didn't pay the full amount of the rent or mortgage because you could not afford it?",no,not sensitive,life events,not applicable,last year stressors,11807,11169,10866,10165,9477,8643,4964
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__exp__fam_004,"In the past 12 months, has there been a time when you and your immediate family experienced any of the following: Were evicted from your home for not paying the rent or mortgage?",no,not sensitive,life events,not applicable,last year stressors,11835,11180,10882,10191,9495,8662,4974
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__exp__fam_005,"In the past 12 months, has there been a time when you and your immediate family experienced any of the following: Had services turned off by the gas or electric company, or the oil company wouldn't deliver oil because payments were not made?",no,not sensitive,life events,not applicable,last year stressors,11824,11182,10881,10188,9493,8659,4973
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__exp__fam_006,"In the past 12 months, has there been a time when you and your immediate family experienced any of the following: Had someone who needed to see a doctor or go to the hospital but didn't go because you could not afford it?",no,not sensitive,life events,not applicable,last year stressors,11828,11185,10879,10191,9499,8666,4974
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__exp__fam_007,"In the past 12 months, has there been a time when you and your immediate family experienced any of the following: Had someone who needed a dentist but couldn't go because you could not afford it?",no,not sensitive,life events,not applicable,last year stressors,11819,11184,10875,10192,9492,8663,4974
Core,"Friends, Family, & Community",Work & School,Parent,fc_p_sag,fc_p_sag_006a__02___9,"Under which category is your child eligible for their IEP, for primary and secondary designations? [Multi-select]: Deaf-blindness (both severe hearing and vision loss)",yes,not sensitive,school,not applicable,academic competency,0,0,8410,8017,7981,8313,4808
Core,"Friends, Family, & Community",Community,Youth,fc_y_eut,fc_y_eut_001,"In the past 12 months, have you felt people treated you unfairly or negatively: Because of your race, ethnicity, or color? Definition of ethnicity: groups of people who have the same customs, or origin",yes,not sensitive,life events,not applicable,_none_,0,10426,10441,0,9195,0,4812
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__income__slf_001,"How much did you earn, before taxes and other deductions, during the past 12 months?",no,maybe sensitive,demographics,income,last year stressors,10774,10357,10018,9363,8712,8004,4653
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__insur_001,Is your child currently covered by any of the following types of health insurance or health coverage plans: Insurance through a current or former employer or union (of this person or another family member),yes,not sensitive,demographics,health insurance,_none_,0,227,10806,10117,9428,8606,4950
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__insur_002,Is your child currently covered by any of the following types of health insurance or health coverage plans: Insurance purchased directly from an insurance company (by this person or another family member),yes,not sensitive,demographics,health insurance,_none_,0,227,10810,10116,9432,8607,4951
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__insur_003,"Is your child currently covered by any of the following types of health insurance or health coverage plans: Medicare, forc. Medicare, for people 65 and older, or people with certain disabilities",yes,not sensitive,demographics,health insurance,_none_,0,227,10820,10135,9443,8621,4947
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__insur_004,"Is your child currently covered by any of the following types of health insurance or health coverage plans: Medicaid, Medical Assistance, or any kind of government-assistance plan for those with low incomes or a disability",yes,not sensitive,demographics,health insurance,_none_,0,227,10801,10104,9422,8599,4943
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__insur_005,Is your child currently covered by any of the following types of health insurance or health coverage plans: TRICARE or other military health care,yes,not sensitive,demographics,health insurance,_none_,0,227,10842,10145,9457,8629,4957
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__insur_006,Is your child currently covered by any of the following types of health insurance or health coverage plans: VA (including those who have ever used or enrolled for VA health care),yes,not sensitive,demographics,health insurance,_none_,0,227,10834,10142,9454,8627,4955
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__insur_007,Is your child currently covered by any of the following types of health insurance or health coverage plans: Indian Health Service,yes,not sensitive,demographics,health insurance,_none_,0,227,10839,10158,9463,8637,4960
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__insur_008,Is your child currently covered by any of the following types of health insurance or health coverage plans: Any other type of health insurance or health coverage plan,yes,not sensitive,demographics,health insurance,_none_,0,227,10786,10100,9425,8604,4945
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__ntvlang_002,"Has your child ever been regularly spoken to in a language other than English in the home or by a caregiver or relative (for example, someone like a parent/guardian, child care provider, or relative often spoke with your child in the other language)?",yes,not sensitive,demographics,language(s),_none_,0,0,2,10160,9471,8642,4967
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__ntvlang_003,"Regarding the languages spoken in the house after your childs birth, what was the composition of English versus other languages spoken?",yes,not sensitive,demographics,language(s),_none_,0,11204,10900,9,0,0,0
Core,"Friends, Family, & Community",Community,Youth,fc_y_eut,fc_y_eut_002,"In the past 12 months, have you felt people treated you unfairly or negatively: Because you are (or your family is) from another country?",yes,maybe sensitive,life events,not applicable,_none_,0,10914,10706,0,9490,0,4955
Core,"Friends, Family, & Community",Community,Youth,fc_y_eut,fc_y_eut__ethn_001c,"How often do the following people treat you unfairly or negatively because of your ethnic background (the country, customs, culture, or religious group of you and your family)?: Other students",yes,maybe sensitive,life events,not applicable,_none_,0,10840,10620,0,9444,0,4907
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__ntvlang__slf_003,"Regarding the languages spoken in your house after you were born, what was the composition of English versus other languages spoken?",yes,not sensitive,demographics,language(s),_none_,0,11206,10908,10211,9513,8685,4986
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__prtnr_001,Do you have a partner? [ab_p_demo],no,not sensitive,demographics,household structure,_none_,11743,11102,10808,10121,9427,8592,4943
Core,"Friends, Family, & Community",Work & School,Parent,fc_p_sag,fc_p_sag_006a__02___10,"Under which category is your child eligible for their IEP, for primary and secondary designations? [Multi-select]: Orthopedic impairment",yes,not sensitive,school,not applicable,academic competency,0,0,8410,8017,7981,8313,4808
Core,"Friends, Family, & Community",Work & School,Parent,fc_p_sag,fc_p_sag_006a__02___11,"Under which category is your child eligible for their IEP, for primary and secondary designations? [Multi-select]: Intellectual disability (such as Down syndrome)",yes,not sensitive,school,not applicable,academic competency,0,0,8410,8017,7981,8313,4808
Core,"Friends, Family, & Community",Work & School,Parent,fc_p_sag,fc_p_sag_006a__02___12,"Under which category is your child eligible for their IEP, for primary and secondary designations? [Multi-select]: Traumatic brain injury",yes,not sensitive,school,not applicable,academic competency,0,0,8410,8017,7981,8313,4808
